"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Congo, Dem. Rep.","COD","Cereal production (metric tons)","AG.PRD.CREL.MT","","503194","491776","456941","458636","448234","532604","558240","654274","645935","666231","672000","701555","712224","735654","759021","773400","779900","770800","868800","889000","940900","981290","1010485","1057866","1141300","1192860","1256060","1332440","1414920","1490658","1458967","1502519","1607622","1659940","1479045","1556773","1531845","1621403","1592753","1572045","1546061","1520470","1521340","1522295","1523240","1524145","1525030","1525860","1526862","1528274","1529338","2643672","2857221","3094544","3115599","3032139","3067140","3121029","","",
"Congo, Rep.","COG","Cereal production (metric tons)","AG.PRD.CREL.MT","","5000","5050","8800","9000","10000","11000","12000","15500","10000","8000","10000","11701","12229","18431","20650","20860","21011","13500","20000","11713","13400","8472","12387","14371","16048","22121","19942","20805","21691","6014","6225","6442","8663","8910","11143","11681","11934","12838","9538","9767","18025","19206","22188","22003","22090","21700","21323","22950","23900","24795","25269","26547","28120","29600","28477","28881","29383","29886","","",
"Colombia","COL","Cereal production (metric tons)","AG.PRD.CREL.MT","","1476921","1616500","1551280","1826649","1812755","1810000","1776700","1952100","1839285","1888195","2123548","2227384","2349871","2854540","2841330","2909420","2672126","3415824","3381881","3224948","3409936","3617861","3379234","3257772","3144300","3067149","3598000","3553800","4007400","4314100","3947987","3673752","3522063","3630600","3435232","3177419","3207192","2892916","3411435","3623161","3553006","3625378","4289072","4442966","4102681","3689641","4017672","4327870","4183178","3540546","3803230","4275177","3821340","4056457","4003591","4401445","4668591","4757682","","",
"Comoros","COM","Cereal production (metric tons)","AG.PRD.CREL.MT","","11300","11300","12300","13600","15000","16300","15500","14500","13500","13500","11500","12600","13700","14800","16000","16200","17600","18000","18000","18200","18300","18200","18000","16650","16550","16990","16450","16500","18550","18655","19570","20090","20610","20666","20912","21078","21246","21456","21076","18981","20796","21139","21637","22122","22250","24262","21544","24741","26230","29214","31893","32363","35154","36673","36907","38947","37838","38354","","",
"Cabo Verde","CPV","Cereal production (metric tons)","AG.PRD.CREL.MT","","13000","13000","13000","13000","17000","19000","22000","11000","7000","924","910","575","714","2200","4000","5000","1500","1000","6000","8500","3000","4400","2700","2525","1323","12138","21182","16507","9714","11418","8258","10265","11888","8163","8166","10190","4900","4883","36439","24341","19549","5067","12154","10000","3648","6378","4425","8039","7383","7047","5569","6001","5785","1065","8677","5642","4976","3893","","",
"Costa Rica","CRI","Cereal production (metric tons)","AG.PRD.CREL.MT","","118813","131894","134717","150324","169085","176991","188871","198847","179050","162294","173673","177355","186046","201358","283183","272238","294310","312673","326109","347564","336112","255755","372438","362820","380804","342176","299427","314997","245664","286772","265288","241909","208883","239960","209994","266319","281857","263065","292453","284922","229454","201368","198281","209860","196477","207263","199214","234240","283516","286537","297476","231741","238539","234587","203816","213880","159571","163669","","",
"Caribbean small states","CSS","Cereal production (metric tons)","AG.PRD.CREL.MT","","316977","329847","268717","417451","374753","404945","371725","322496","337356","396724","367477","329421","384248","502047","532083","414938","626422","589452","532032","592262","606275","644570","555998","647181","601131","618579","566150","542974","553663","410172","553796","622936","629492","664423","810689","860278","866754","783971","816381","674891","755308","669777","812450","743054","668980","720073","725613","763691","885046","895925","961918","980340","1213506","1020680","1050266","917800","1051656","1350154","","",
"Cuba","CUB","Cereal production (metric tons)","AG.PRD.CREL.MT","","331308","356020","356900","227958","156970","164999","168593","210249","311115","462723","443328","408966","423632","532548","541346","546178","551874","553558","521200","573934","556987","615852","613744","650860","620420","666617","562139","584957","617481","539689","483644","442006","254234","487048","500900","717531","817272","618526","796890","826200","900115","1001179","1075955","889369","732197","744119","809469","762180","868697","779086","920658","1003983","1104303","1017580","791666","930968","786203","812374","","",
"Curacao","CUW","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Cereal production (metric tons)","AG.PRD.CREL.MT","","92761","159512","155562","112776","230195","107696","184201","118059","184302","99974","209601","163576","17216","209296","84176","91338","81229","89022","77826","95220","87158","91684","71310","92650","112200","67800","126000","158110","148080","108500","65180","181645","204840","162150","145170","141190","47780","65820","127100","47950","127380","141750","164690","111410","70185","66833","63533","6341","56820","65732","70195","90747","51923","7362","88127","10161","35836","37225","","",
"Czech Republic","CZE","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6485852","6798604","6619711","6661644","6999309","6681420","6940576","6467637","7353491","6784829","5780887","8803796","7677321","6402586","7157365","8374003","7836375","6882070","8289282","6600024","7516944","8783608","8187774","8600552","7460864","6975004","","",
"Germany","DEU","Cereal production (metric tons)","AG.PRD.CREL.MT","","17257340","21166661","20970320","22737326","20620142","20742474","25380099","26898318","25853039","23753864","28685065","28780064","29680306","32357236","30164053","27323692","30306879","33762346","31729504","32712941","31688884","34645710","33077787","37838589","37555294","37257105","35061112","36931897","36881160","37579589","39267858","34758462","35547425","36328713","39863871","42135618","45485681","44574851","44452029","45271234","49709326","43391325","39426039","51097000","45980200","43474800","40632149","50104858","49750199","44038739","41920400","45396500","47757100","52010400","48866800","45364400","45556800","37955800","","",
"Djibouti","DJI","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","5","5","5","7","7","10","9","10","4","10","10","10","10","10","10","10","10","10","11","11","12","10","10","10","9","10","11","12","13","14","15","16","16","16","18","19","18","18","","",
"Dominica","DMA","Cereal production (metric tons)","AG.PRD.CREL.MT","","130","130","140","140","150","150","160","160","160","160","170","170","180","180","190","200","200","200","220","230","235","240","250","230","200","180","180","160","160","150","159","162","160","174","170","173","174","168","174","175","174","176","180","182","190","200","210","190","184","170","140","200","200","197","190","190","191","191","","",
